flight_id,bookings,no_shows,no_show_rate
LA1066,176,12,0.06818181818181818
LA1067,154,14,0.09090909090909091
LA1068,143,13,0.09090909090909091
LA1069,158,15,0.0949367088607595
LA1070,171,9,0.05263157894736842
LA1071,147,16,0.10884353741496598
LA1072,158,10,0.06329113924050633
LA1073,145,6,0.041379310344827586
LA1074,167,14,0.08383233532934131
LA1075,159,11,0.06918238993710692
LA1076,153,15,0.09803921568627451
LA1077,149,15,0.10067114093959731
LA1078,162,11,0.06790123456790123
LA1079,166,19,0.1144578313253012
LA1080,177,12,0.06779661016949153
LA1081,157,13,0.08280254777070063
LA1082,146,9,0.06164383561643835
LA1083,173,19,0.10982658959537572
LA1084,165,10,0.06060606060606061
LA1085,168,8,0.047619047619047616
LA1086,143,11,0.07692307692307693
LA1087,152,21,0.13815789473684212
LA1088,170,18,0.10588235294117647
LA1089,173,16,0.09248554913294797
LA1090,157,17,0.10828025477707007
LA1091,172,18,0.10465116279069768
LA1092,173,14,0.08092485549132948
LA1093,155,11,0.07096774193548387
LA1094,175,17,0.09714285714285714
LA1095,151,13,0.08609271523178808
LA1096,149,11,0.0738255033557047
LA1097,167,9,0.05389221556886228
LA1098,165,15,0.09090909090909091
LA1099,145,9,0.06206896551724138
LA1100,173,19,0.10982658959537572
LA1101,147,9,0.061224489795918366
LA1102,172,10,0.05813953488372093
LA1103,140,14,0.1
LA1104,171,10,0.05847953216374269
LA1105,171,10,0.05847953216374269
LA1106,171,14,0.08187134502923976
LA1107,166,17,0.10240963855421686
LA1108,158,10,0.06329113924050633
LA1109,168,12,0.07142857142857142
LA1110,151,15,0.09933774834437085
LA1111,171,21,0.12280701754385964
LA1112,162,13,0.08024691358024691
LA1113,158,9,0.056962025316455694
LA1114,160,6,0.0375
LA1115,162,10,0.06172839506172839
LA1116,141,8,0.05673758865248227
LA1117,145,13,0.0896551724137931
LA1118,149,8,0.053691275167785234
LA1119,144,11,0.0763888888888889
LA1120,157,14,0.08917197452229299
LA1121,166,14,0.08433734939759036
LA1122,166,10,0.060240963855421686
LA1123,158,16,0.10126582278481013
LA1124,174,16,0.09195402298850575
LA1125,162,15,0.09259259259259259
LA1126,143,8,0.055944055944055944
LA1127,170,10,0.058823529411764705
LA1128,162,18,0.1111111111111111
LA1129,165,12,0.07272727272727272
LA1130,162,11,0.06790123456790123
LA1131,162,13,0.08024691358024691
LA1132,143,13,0.09090909090909091
LA1133,162,19,0.11728395061728394
LA1134,171,12,0.07017543859649122
LA1135,152,17,0.1118421052631579
LA1136,164,7,0.042682926829268296
LA1137,141,12,0.0851063829787234
LA1138,153,13,0.08496732026143791
LA1139,157,8,0.050955414012738856
LA1140,179,10,0.055865921787709494
LA1141,148,11,0.07432432432432433
LA1142,151,18,0.11920529801324503
LA1143,156,13,0.08333333333333333
LA1144,179,20,0.11173184357541899
LA1145,174,17,0.09770114942528736
LA1146,141,11,0.07801418439716312
LA1147,149,14,0.09395973154362416
LA1148,172,7,0.040697674418604654
LA1149,142,7,0.04929577464788732
LA1150,174,17,0.09770114942528736
LA1151,151,15,0.09933774834437085
LA1152,176,11,0.0625
LA1153,151,12,0.07947019867549669
LA1154,157,13,0.08280254777070063
LA1155,166,17,0.10240963855421686
LA1156,145,12,0.08275862068965517
LA1157,162,12,0.07407407407407407
LA1158,160,12,0.075
LA1159,171,13,0.07602339181286549
LA1160,179,16,0.0893854748603352
LA1161,166,17,0.10240963855421686
LA1162,156,12,0.07692307692307693
LA1163,156,10,0.0641025641025641
LA1164,156,10,0.0641025641025641
LA1165,172,16,0.09302325581395349
LA1166,152,15,0.09868421052631579
LA1167,146,8,0.0547945205479452
LA1168,153,7,0.0457516339869281
LA1169,140,12,0.08571428571428572
LA1170,144,8,0.05555555555555555
LA1171,143,14,0.0979020979020979
LA1172,170,12,0.07058823529411765
LA1173,168,10,0.05952380952380952
LA1174,167,18,0.10778443113772455
LA1175,158,9,0.056962025316455694
LA1176,168,11,0.06547619047619048
LA1177,146,8,0.0547945205479452
LA1178,176,10,0.056818181818181816
LA1179,160,6,0.0375
